date,account,category,amount,currency,converted amount,currency,description
08/05/2015,Наличные,Gum,-10,UAH,-10,UAH,
08/05/2015,Наличные,Еда,-6,UAH,-6,UAH,
08/05/2015,Наличные,Еда,-23,UAH,-23,UAH,
08/05/2015,Наличные,Транспорт,-120,UAH,-120,UAH,
08/05/2015,Наличные,Еда,-23,UAH,-23,UAH,
10/05/2015,Наличные,Бонус,200,UAH,200,UAH,
11/05/2015,Наличные,Gum,-10,UAH,-10,UAH,
11/05/2015,Наличные,Еда,-13,UAH,-13,UAH,
11/05/2015,ПриватБанк,Кафе,-126,UAH,-126,UAH,
11/05/2015,ПриватБанк,Кафе,-129,UAH,-129,UAH,
11/05/2015,ПриватБанк,Еда,-500,UAH,-500,UAH,
11/05/2015,Наличные,Другое,-43,UAH,-43,UAH,
11/05/2015,Наличные,Такси,-63,UAH,-63,UAH,
12/05/2015,Наличные,Кафе,-50,UAH,-50,UAH,
12/05/2015,Наличные,Другое,-400,UAH,-400,UAH,
13/05/2015,Гривна,To 'Наличные',-400,UAH,-400,UAH,
13/05/2015,Наличные,From 'Гривна',400,UAH,400,UAH,
13/05/2015,Наличные,Здоровье,-70,UAH,-70,UAH,
13/05/2015,ПриватБанк,Связь,-51,UAH,-51,UAH,
13/05/2015,ПриватБанк,Кафе,-48,UAH,-48,UAH,
14/05/2015,ПриватБанк,Кафе,-48,UAH,-48,UAH,
14/05/2015,ПриватБанк,Кафе,-78,UAH,-78,UAH,
14/05/2015,Наличные,Еда,-13,UAH,-13,UAH,
15/05/2015,Наличные,Gum,-10,UAH,-10,UAH,
15/05/2015,ПриватБанк,Кафе,-46,UAH,-46,UAH,
16/05/2015,Наличные,Такси,-66,UAH,-66,UAH,
17/05/2015,Наличные,Жилье,-25,UAH,-25,UAH,
17/05/2015,Наличные,Другое,-6,UAH,-6,UAH,
17/05/2015,ПриватБанк,Еда,-143,UAH,-143,UAH,
17/05/2015,Гривна,Зарплата,22 000,UAH,22 000,UAH,
17/05/2015,Наличные,Бонус,203,UAH,203,UAH,
18/05/2015,ПриватБанк,Жилье,-38,UAH,-38,UAH,
18/05/2015,ПриватБанк,"Кино, театр, музей",-168,UAH,-168,UAH,
18/05/2015,Наличные,Еда,-24,UAH,-24,UAH,
19/05/2015,Наличные,АТО,-200,UAH,-200,UAH,
19/05/2015,Наличные,Кафе,-15,UAH,-15,UAH,
19/05/2015,Гривна,Электроника,-12 980,UAH,-12 980,UAH,Ipad
19/05/2015,Гривна,To 'Наличные',-20,UAH,-20,UAH,
19/05/2015,Наличные,From 'Гривна',20,UAH,20,UAH,
20/05/2015,Гривна,To 'Наличные',-1 000,UAH,-1 000,UAH,
20/05/2015,Наличные,From 'Гривна',1 000,UAH,1 000,UAH,
20/05/2015,Наличные,Gum,-10,UAH,-10,UAH,
20/05/2015,ПриватБанк,Связь,-51,UAH,-51,UAH,
20/05/2015,Наличные,Другое,-5,UAH,-5,UAH,
20/05/2015,ПриватБанк,Кафе,-48,UAH,-48,UAH,
21/05/2015,Наличные,Кафе,-50,UAH,-50,UAH,
21/05/2015,ПриватБанк,Еда,-243,UAH,-243,UAH,
22/05/2015,Наличные,Другое,-45,UAH,-45,UAH,
22/05/2015,Наличные,Кафе,-50,UAH,-50,UAH,
22/05/2015,Наличные,Связь,-20,UAH,-20,UAH,
22/05/2015,Наличные,Другое,-30,UAH,-30,UAH,
23/05/2015,Наличные,Отдых,-400,UAH,-400,UAH,
24/05/2015,Наличные,Кафе,-110,UAH,-110,UAH,
24/05/2015,ПриватБанк,Связь,-101,UAH,-101,UAH,
25/05/2015,ПриватБанк,Кафе,-39,UAH,-39,UAH,
25/05/2015,Наличные,Кафе,-35,UAH,-35,UAH,
25/05/2015,ПриватБанк,Жилье,-278,UAH,-278,UAH,
25/05/2015,Наличные,Gum,-10,UAH,-10,UAH,
25/05/2015,ПриватБанк,Электроника,-293,UAH,-293,UAH,
25/05/2015,Наличные,Бонус,192,UAH,192,UAH,
25/05/2015,ПриватБанк,Электроника,-66,UAH,-66,UAH,
26/05/2015,Наличные,Одежда,-300,UAH,-300,UAH,Химчистка
26/05/2015,ПриватБанк,To 'Наличные',-300,UAH,-300,UAH,
26/05/2015,Наличные,From 'ПриватБанк',300,UAH,300,UAH,
27/05/2015,Наличные,Gum,-10,UAH,-10,UAH,
27/05/2015,Гривна,To 'ПриватБанк',-1 000,UAH,-1 000,UAH,
27/05/2015,ПриватБанк,From 'Гривна',1 000,UAH,1 000,UAH,
28/05/2015,Наличные,Такси,-100,UAH,-100,UAH,
28/05/2015,Наличные,Кафе,-57,UAH,-57,UAH,
28/05/2015,Гривна,To 'Наличные',-400,UAH,-400,UAH,
28/05/2015,Наличные,From 'Гривна',400,UAH,400,UAH,
29/05/2015,Наличные,Кафе,-26,UAH,-26,UAH,
29/05/2015,ПриватБанк,Связь,-51,UAH,-51,UAH,
29/05/2015,ПриватБанк,e-buy,-225,UAH,-225,UAH,
29/05/2015,Наличные,Другое,-15,UAH,-15,UAH,
29/05/2015,Гривна,Зарплата,1 100,UAH,1 100,UAH,
29/05/2015,Гривна,To 'Отдых',-1 000,UAH,-1 000,UAH,Я
29/05/2015,Отдых,From 'Гривна',1 000,UAH,1 000,UAH,Я
29/05/2015,Гривна,Жилье,-2 500,UAH,-2 500,UAH,
29/05/2015,Наличные,Другое,-146,UAH,-146,UAH,
30/05/2015,ПриватБанк,Кафе,-145,UAH,-145,UAH,
30/05/2015,Наличные,Еда,-120,UAH,-120,UAH,
31/05/2015,Наличные,Кафе,-43,UAH,-43,UAH,
31/05/2015,ПриватБанк,Еда,-166,UAH,-166,UAH,
31/05/2015,Гривна,Электроника,-4 200,UAH,-4 200,UAH,
31/05/2015,Наличные,Транспорт,-150,UAH,-150,UAH,
31/05/2015,Наличные,Кафе,-20,UAH,-20,UAH,
31/05/2015,Наличные,Кафе,-20,UAH,-20,UAH,
31/05/2015,ПриватБанк,Кафе,-460,UAH,-460,UAH,
31/05/2015,Наличные,Другое,-10,UAH,-10,UAH,
01/06/2015,Наличные,Еда,-10,UAH,-10,UAH,
01/06/2015,Наличные,Подарки,-25,UAH,-25,UAH,
01/06/2015,Наличные,Другое,-85,UAH,-85,UAH,
01/06/2015,Наличные,Кафе,-20,UAH,-20,UAH,
01/06/2015,Гривна,Зарплата,2 100,UAH,2 100,UAH,
01/06/2015,ПриватБанк,Еда,-325,UAH,-325,UAH,
01/06/2015,Гривна,Мебель,-1 150,UAH,-1 150,UAH,
02/06/2015,Гривна,To 'Наличные',-250,UAH,-250,UAH,
02/06/2015,Наличные,From 'Гривна',250,UAH,250,UAH,
02/06/2015,Наличные,Кафе,-18,UAH,-18,UAH,
02/06/2015,Наличные,Транспорт,-3,UAH,-3,UAH,
02/06/2015,Наличные,Другое,-10,UAH,-10,UAH,
02/06/2015,Гривна,Зарплата,4 300,UAH,4 300,UAH,
02/06/2015,Гривна,Образование,-1 500,UAH,-1 500,UAH,
03/06/2015,ПриватБанк,Кафе,-60,UAH,-60,UAH,
04/06/2015,Наличные,Gum,-10,UAH,-10,UAH,
04/06/2015,Наличные,Еда,-20,UAH,-20,UAH,
05/06/2015,Наличные,Кафе,-60,UAH,-60,UAH,
05/06/2015,Наличные,Кафе,-60,UAH,-60,UAH,
06/06/2015,ПриватБанк,Еда,-230,UAH,-230,UAH,
06/06/2015,Наличные,Еда,-25,UAH,-25,UAH,
06/06/2015,Наличные,Транспорт,-10,UAH,-10,UAH,
06/06/2015,ПриватБанк,Кафе,-55,UAH,-55,UAH,
06/06/2015,ПриватБанк,Кафе,-68,UAH,-68,UAH,
07/06/2015,Наличные,Еда,-140,UAH,-140,UAH,
07/06/2015,Наличные,Развлечения,-100,UAH,-100,UAH,
07/06/2015,Наличные,Транспорт,-50,UAH,-50,UAH,
07/06/2015,Гривна,To 'Наличные',-400,UAH,-400,UAH,
07/06/2015,Наличные,From 'Гривна',400,UAH,400,UAH,
07/06/2015,Наличные,Транспорт,-300,UAH,-300,UAH,
07/06/2015,Наличные,Еда,-45,UAH,-45,UAH,
08/06/2015,Гривна,To 'Наличные',-400,UAH,-400,UAH,
08/06/2015,Наличные,From 'Гривна',400,UAH,400,UAH,
08/06/2015,Наличные,Кафе,-50,UAH,-50,UAH,
08/06/2015,Гривна,To 'Наличные',-400,UAH,-400,UAH,
08/06/2015,Наличные,From 'Гривна',400,UAH,400,UAH,
08/06/2015,ПриватБанк,Кафе,-30,UAH,-30,UAH,
09/06/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
09/06/2015,Наличные,Бонус,40,UAH,40,UAH,
10/06/2015,ПриватБанк,Кафе,-55,UAH,-55,UAH,
10/06/2015,Наличные,Подарки,-70,UAH,-70,UAH,
10/06/2015,Наличные,Gum,-10,UAH,-10,UAH,
11/06/2015,Наличные,Еда,-21,UAH,-21,UAH,
12/06/2015,Наличные,Еда,-12,UAH,-12,UAH,
12/06/2015,Наличные,Еда,-17,UAH,-17,UAH,
12/06/2015,Гривна,To 'Наличные',-500,UAH,-500,UAH,
12/06/2015,Наличные,From 'Гривна',500,UAH,500,UAH,
12/06/2015,Наличные,Еда,-12,UAH,-12,UAH,
12/06/2015,Наличные,Кафе,-27,UAH,-27,UAH,
12/06/2015,ПриватБанк,Кафе,-22,UAH,-22,UAH,
12/06/2015,ПриватБанк,Кафе,-35,UAH,-35,UAH,
13/06/2015,Наличные,Транспорт,-6,UAH,-6,UAH,
13/06/2015,ПриватБанк,e-buy,-123,UAH,-123,UAH,
13/06/2015,Наличные,Транспорт,-12,UAH,-12,UAH,
13/06/2015,Наличные,Кафе,-15,UAH,-15,UAH,
13/06/2015,Наличные,Gum,-10,UAH,-10,UAH,
13/06/2015,Наличные,Еда,-12,UAH,-12,UAH,
13/06/2015,Наличные,Еда,-21,UAH,-21,UAH,
13/06/2015,Наличные,Еда,-29,UAH,-29,UAH,
14/06/2015,Наличные,Транспорт,-20,UAH,-20,UAH,
15/06/2015,Наличные,Gum,-10,UAH,-10,UAH,
15/06/2015,ПриватБанк,Кафе,-56,UAH,-56,UAH,
16/06/2015,Гривна,To 'Наличные',-1 000,UAH,-1 000,UAH,
16/06/2015,Наличные,From 'Гривна',1 000,UAH,1 000,UAH,
16/06/2015,Наличные,Другое,-74,UAH,-74,UAH,
16/06/2015,ПриватБанк,Еда,-420,UAH,-420,UAH,
16/06/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
16/06/2015,Наличные,Еда,-20,UAH,-20,UAH,
17/06/2015,Наличные,Кафе,-52,UAH,-52,UAH,
17/06/2015,ПриватБанк,Связь,-50,UAH,-50,UAH,
18/06/2015,Наличные,Жилье,-126,UAH,-126,UAH,
18/06/2015,Наличные,Gum,-10,UAH,-10,UAH,
18/06/2015,Наличные,Другое,-34,UAH,-34,UAH,
18/06/2015,Наличные,Другое,-11,UAH,-11,UAH,
18/06/2015,Наличные,Электроника,-750,UAH,-750,UAH,
18/06/2015,Наличные,To 'Гривна',-200,UAH,-200,UAH,
18/06/2015,Гривна,From 'Наличные',200,UAH,200,UAH,
18/06/2015,Гривна,Бонус,200,UAH,200,UAH,
18/06/2015,Наличные,Бонус,50,UAH,50,UAH,
18/06/2015,Наличные,Еда,-17,UAH,-17,UAH,
18/06/2015,Наличные,Жилье,-134,UAH,-134,UAH,
18/06/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
19/06/2015,ПриватБанк,Кафе,-273,UAH,-273,UAH,
19/06/2015,Наличные,Другое,-20,UAH,-20,UAH,На чай
20/06/2015,Наличные,Gum,-9,UAH,-9,UAH,
20/06/2015,Наличные,Кафе,-153,UAH,-153,UAH,
20/06/2015,Наличные,Стрижка,-70,UAH,-70,UAH,
20/06/2015,Наличные,Транспорт,-100,UAH,-100,UAH,
20/06/2015,Гривна,Одежда,-550,UAH,-550,UAH,
20/06/2015,Гривна,Одежда,-590,UAH,-590,UAH,
20/06/2015,Гривна,Зарплата,10 000,UAH,10 000,UAH,
20/06/2015,Гривна,To 'Наличные',-60,UAH,-60,UAH,
20/06/2015,Наличные,From 'Гривна',60,UAH,60,UAH,
20/06/2015,Наличные,Еда,-48,UAH,-48,UAH,
20/06/2015,Наличные,Одежда,-300,UAH,-300,UAH,
20/06/2015,Гривна,To 'Наличные',-1 000,UAH,-1 000,UAH,
20/06/2015,Наличные,From 'Гривна',1 000,UAH,1 000,UAH,
20/06/2015,Наличные,Бонус,21,UAH,21,UAH,
21/06/2015,Наличные,"Кино, театр, музей",-180,UAH,-180,UAH,
21/06/2015,Наличные,Транспорт,-6,UAH,-6,UAH,
21/06/2015,Наличные,Кафе,-70,UAH,-70,UAH,
21/06/2015,Наличные,Кафе,-12,UAH,-12,UAH,
22/06/2015,Наличные,Кафе,-47,UAH,-47,UAH,
22/06/2015,Наличные,Gum,-10,UAH,-10,UAH,
23/06/2015,Наличные,Кафе,-22,UAH,-22,UAH,
23/06/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
23/06/2015,Наличные,Еда,-14,UAH,-14,UAH,
24/06/2015,Гривна,To 'ПриватБанк',-4 000,UAH,-4 000,UAH,
24/06/2015,ПриватБанк,From 'Гривна',4 000,UAH,4 000,UAH,
24/06/2015,Наличные,Gum,-10,UAH,-10,UAH,
24/06/2015,Наличные,Кафе,-9,UAH,-9,UAH,
24/06/2015,Наличные,Кафе,-150,UAH,-150,UAH,
24/06/2015,Наличные,Подарки,-75,UAH,-75,UAH,
24/06/2015,Наличные,Кафе,-320,UAH,-320,UAH,
24/06/2015,Гривна,To 'Наличные',-500,UAH,-500,UAH,
24/06/2015,Наличные,From 'Гривна',500,UAH,500,UAH,
24/06/2015,ПриватБанк,Интернет,-65,UAH,-65,UAH,
25/06/2015,Наличные,Еда,-25,UAH,-25,UAH,
25/06/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
25/06/2015,Наличные,Еда,-5,UAH,-5,UAH,
25/06/2015,Наличные,Еда,-10,UAH,-10,UAH,
25/06/2015,Наличные,Другое,-40,UAH,-40,UAH,
25/06/2015,Наличные,Еда,-10,UAH,-10,UAH,
25/06/2015,Гривна,To 'Наличные',-600,UAH,-600,UAH,
25/06/2015,Наличные,From 'Гривна',600,UAH,600,UAH,
25/06/2015,Гривна,Жилье,-2 500,UAH,-2 500,UAH,
26/06/2015,Наличные,Транспорт,-110,UAH,-110,UAH,
27/06/2015,Наличные,Еда,-110,UAH,-110,UAH,
28/06/2015,Наличные,Транспорт,-110,UAH,-110,UAH,
29/06/2015,Наличные,Кафе,-75,UAH,-75,UAH,
29/06/2015,Наличные,Еда,-40,UAH,-40,UAH,
29/06/2015,Наличные,Еда,-16,UAH,-16,UAH,
29/06/2015,ПриватБанк,Еда,-212,UAH,-212,UAH,
30/06/2015,Гривна,To 'Отдых',-1 000,UAH,-1 000,UAH,
30/06/2015,Отдых,From 'Гривна',1 000,UAH,1 000,UAH,
30/06/2015,Наличные,Бонус,200,UAH,200,UAH,
30/06/2015,ПриватБанк,Связь,-36,UAH,-36,UAH,
30/06/2015,ПриватБанк,e-buy,-110,UAH,-110,UAH,
30/06/2015,Наличные,Другое,-10,UAH,-10,UAH,
01/07/2015,Наличные,Транспорт,-175,UAH,-175,UAH,
01/07/2015,Наличные,Еда,-37,UAH,-37,UAH,
02/07/2015,Наличные,Еда,-17,UAH,-17,UAH,
02/07/2015,Гривна,Зарплата,5 800,UAH,5 800,UAH,
02/07/2015,Гривна,To 'Отдых',-1 000,UAH,-1 000,UAH,
02/07/2015,Отдых,From 'Гривна',1 000,UAH,1 000,UAH,
03/07/2015,ПриватБанк,Кафе,-91,UAH,-91,UAH,
03/07/2015,Наличные,Еда,-12,UAH,-12,UAH,
03/07/2015,Наличные,Кафе,-100,UAH,-100,UAH,
04/07/2015,ПриватБанк,Связь,-51,UAH,-51,UAH,
04/07/2015,Наличные,Транспорт,-8,UAH,-8,UAH,
05/07/2015,ПриватБанк,Еда,-109,UAH,-109,UAH,
05/07/2015,Наличные,Еда,-32,UAH,-32,UAH,
05/07/2015,Наличные,Еда,-9,UAH,-9,UAH,
05/07/2015,ПриватБанк,Связь,-51,UAH,-51,UAH,
06/07/2015,ПриватБанк,Зарплата,11 000,UAH,11 000,UAH,
06/07/2015,Гривна,To 'Наличные',-500,UAH,-500,UAH,
06/07/2015,Наличные,From 'Гривна',500,UAH,500,UAH,
06/07/2015,Наличные,Кафе,-100,UAH,-100,UAH,
06/07/2015,ПриватБанк,Кафе,-86,UAH,-86,UAH,
06/07/2015,Наличные,Еда,-14,UAH,-14,UAH,
07/07/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
07/07/2015,Наличные,Gum,-10,UAH,-10,UAH,
08/07/2015,Наличные,Еда,-47,UAH,-47,UAH,
08/07/2015,Наличные,Еда,-23,UAH,-23,UAH,
09/07/2015,ПриватБанк,Еда,-15,UAH,-15,UAH,
10/07/2015,Наличные,Еда,-71,UAH,-71,UAH,
10/07/2015,Наличные,Кафе,-100,UAH,-100,UAH,
10/07/2015,ПриватБанк,Зарплата,8 600,UAH,8 600,UAH,
10/07/2015,ПриватБанк,Другое,-50,UAH,-50,UAH,Карта
11/07/2015,Наличные,Развлечения,-320,UAH,-320,UAH,
11/07/2015,Гривна,To 'Наличные',-700,UAH,-700,UAH,
11/07/2015,Наличные,From 'Гривна',700,UAH,700,UAH,
12/07/2015,ПриватБанк,Еда,-195,UAH,-195,UAH,
13/07/2015,Наличные,Еда,-40,UAH,-40,UAH,
14/07/2015,Гривна,To 'ПриватБанк',-1 500,UAH,-1 500,UAH,
14/07/2015,ПриватБанк,From 'Гривна',1 500,UAH,1 500,UAH,
14/07/2015,Наличные,Подарки,-100,UAH,-100,UAH,
14/07/2015,Наличные,Еда,-15,UAH,-15,UAH,
14/07/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
15/07/2015,Наличные,Gum,-10,UAH,-10,UAH,
15/07/2015,Гривна,To 'Наличные',-1 000,UAH,-1 000,UAH,
15/07/2015,Наличные,From 'Гривна',1 000,UAH,1 000,UAH,
15/07/2015,Наличные,Подарки,-100,UAH,-100,UAH,
15/07/2015,Наличные,Еда,-30,UAH,-30,UAH,
15/07/2015,Наличные,Жилье,-230,UAH,-230,UAH,
17/07/2015,Наличные,Gum,-10,UAH,-10,UAH,
17/07/2015,Наличные,Еда,-7,UAH,-7,UAH,
17/07/2015,Наличные,Кафе,-60,UAH,-60,UAH,
17/07/2015,ПриватБанк,Еда,-280,UAH,-280,UAH,
17/07/2015,ПриватБанк,Кафе,-150,UAH,-150,UAH,
18/07/2015,Гривна,Одежда,-400,UAH,-400,UAH,
18/07/2015,Наличные,Еда,-25,UAH,-25,UAH,
18/07/2015,Наличные,Другое,-809,UAH,-809,UAH,Виза
19/07/2015,Наличные,Развлечения,-55,UAH,-55,UAH,
19/07/2015,ПриватБанк,Еда,-278,UAH,-278,UAH,
19/07/2015,ПриватБанк,Еда,-58,UAH,-58,UAH,
20/07/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
20/07/2015,Гривна,Зарплата,6 800,UAH,6 800,UAH,
20/07/2015,Гривна,To 'Наличные',-800,UAH,-800,UAH,
20/07/2015,Наличные,From 'Гривна',800,UAH,800,UAH,
21/07/2015,ПриватБанк,Отдых,-5 294,UAH,-5 294,UAH,
21/07/2015,Наличные,Кафе,-100,UAH,-100,UAH,
22/07/2015,Наличные,Gum,-11,UAH,-11,UAH,
22/07/2015,Наличные,Кафе,-100,UAH,-100,UAH,
22/07/2015,Наличные,e-buy,-300,UAH,-300,UAH,
22/07/2015,Гривна,Жилье,-2 500,UAH,-2 500,UAH,
22/07/2015,Наличные,Еда,-12,UAH,-12,UAH,
23/07/2015,ПриватБанк,To 'Наличные',-100,UAH,-100,UAH,
23/07/2015,Наличные,From 'ПриватБанк',100,UAH,100,UAH,
23/07/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
23/07/2015,ПриватБанк,Связь,-50,UAH,-50,UAH,
24/07/2015,ПриватБанк,e-buy,-47,UAH,-47,UAH,
24/07/2015,ПриватБанк,Интернет,-130,UAH,-130,UAH,
24/07/2015,Наличные,Кафе,-55,UAH,-55,UAH,
25/07/2015,Наличные,Транспорт,-5,UAH,-5,UAH,
25/07/2015,Наличные,Gum,-10,UAH,-10,UAH,
25/07/2015,Наличные,Еда,-38,UAH,-38,UAH,
25/07/2015,Наличные,Транспорт,-15,UAH,-15,UAH,
25/07/2015,Наличные,Транспорт,-6,UAH,-6,UAH,
25/07/2015,ПриватБанк,e-buy,-266,UAH,-266,UAH,
26/07/2015,ПриватБанк,Одежда,-1 653,UAH,-1 653,UAH,
28/07/2015,ПриватБанк,To 'Наличные',-200,UAH,-200,UAH,
28/07/2015,Наличные,From 'ПриватБанк',200,UAH,200,UAH,
28/07/2015,Наличные,Кафе,-50,UAH,-50,UAH,
28/07/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
28/07/2015,ПриватБанк,Связь,-102,UAH,-102,UAH,
30/07/2015,ПриватБанк,Развлечения,-204,UAH,-204,UAH,
30/07/2015,ПриватБанк,Развлечения,-362,UAH,-362,UAH,
30/07/2015,ПриватБанк,Кафе,-814,UAH,-814,UAH,
01/08/2015,ПриватБанк,Кафе,-760,UAH,-760,UAH,
03/08/2015,ПриватБанк,Кафе,-567,UAH,-567,UAH,
04/08/2015,ПриватБанк,Развлечения,-510,UAH,-510,UAH,
05/08/2015,ПриватБанк,Развлечения,-43,UAH,-43,UAH,
05/08/2015,ПриватБанк,Кафе,-71,UAH,-71,UAH,
06/08/2015,ПриватБанк,Кафе,-72,UAH,-72,UAH,
06/08/2015,ПриватБанк,Еда,-448,UAH,-448,UAH,
07/08/2015,Наличные,Еда,-126,UAH,-126,UAH,
07/08/2015,Гривна,To 'Наличные',-200,UAH,-200,UAH,
07/08/2015,Наличные,From 'Гривна',200,UAH,200,UAH,
07/08/2015,Наличные,Еда,-58,UAH,-58,UAH,
08/08/2015,Наличные,Еда,-25,UAH,-25,UAH,
08/08/2015,Наличные,Еда,-10,UAH,-10,UAH,
08/08/2015,ПриватБанк,Еда,-54,UAH,-54,UAH,
08/08/2015,Наличные,Еда,-100,UAH,-100,UAH,
09/08/2015,ПриватБанк,Кафе,-32,UAH,-32,UAH,
10/08/2015,ПриватБанк,Транспорт,-4,UAH,-4,UAH,
10/08/2015,Наличные,Другое,-250,UAH,-250,UAH,
10/08/2015,Наличные,Еда,-24,UAH,-24,UAH,
11/08/2015,Наличные,Gum,-10,UAH,-10,UAH,
12/08/2015,Наличные,Транспорт,-133,UAH,-133,UAH,
12/08/2015,Наличные,Другое,-192,UAH,-192,UAH,
12/08/2015,Гривна,To 'Наличные',-1 000,UAH,-1 000,UAH,
12/08/2015,Наличные,From 'Гривна',1 000,UAH,1 000,UAH,
14/08/2015,Наличные,Кафе,-200,UAH,-200,UAH,
14/08/2015,ПриватБанк,e-buy,-237,UAH,-237,UAH,
17/08/2015,Наличные,Другое,-100,UAH,-100,UAH,
17/08/2015,Наличные,Такси,-120,UAH,-120,UAH,
17/08/2015,Наличные,Транспорт,-8,UAH,-8,UAH,
17/08/2015,Наличные,Жилье,-335,UAH,-335,UAH,
17/08/2015,Наличные,Другое,-9,UAH,-9,UAH,
17/08/2015,ПриватБанк,Связь,-102,UAH,-102,UAH,
18/08/2015,Наличные,Другое,-600,UAH,-600,UAH,
18/08/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
18/08/2015,Гривна,To 'Наличные',-1 000,UAH,-1 000,UAH,
18/08/2015,Наличные,From 'Гривна',1 000,UAH,1 000,UAH,
18/08/2015,Наличные,Транспорт,-16,UAH,-16,UAH,
19/08/2015,ПриватБанк,Другое,-200,UAH,-200,UAH,
20/08/2015,ПриватБанк,e-buy,-71,UAH,-71,UAH,
20/08/2015,Наличные,Другое,-86,UAH,-86,UAH,
20/08/2015,Наличные,Подарки,-100,UAH,-100,UAH,
20/08/2015,Наличные,Связь,-150,UAH,-150,UAH,
20/08/2015,Наличные,Другое,-25,UAH,-25,UAH,
21/08/2015,ПриватБанк,Интернет,-100,UAH,-100,UAH,
21/08/2015,Наличные,Подарки,-60,UAH,-60,UAH,
22/08/2015,Наличные,Жилье,-50,UAH,-50,UAH,
23/08/2015,Наличные,Еда,-25,UAH,-25,UAH,
23/08/2015,Гривна,To 'Наличные',-500,UAH,-500,UAH,
23/08/2015,Наличные,From 'Гривна',500,UAH,500,UAH,
25/08/2015,Наличные,Кафе,-200,UAH,-200,UAH,
25/08/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
25/08/2015,Гривна,Зарплата,4 600,UAH,4 600,UAH,
25/08/2015,Гривна,Жилье,-2 500,UAH,-2 500,UAH,
25/08/2015,Гривна,To 'Наличные',-100,UAH,-100,UAH,
25/08/2015,Наличные,From 'Гривна',100,UAH,100,UAH,
27/08/2015,Наличные,Другое,-53,UAH,-53,UAH,
27/08/2015,Гривна,Жилье,-200,UAH,-200,UAH,
28/08/2015,Наличные,Кафе,-32,UAH,-32,UAH,
28/08/2015,Наличные,Кафе,-60,UAH,-60,UAH,
30/08/2015,ПриватБанк,e-buy,-23,UAH,-23,UAH,
31/08/2015,ПриватБанк,Связь,-101,UAH,-101,UAH,
31/08/2015,Наличные,Еда,-73,UAH,-73,UAH,
31/08/2015,Гривна,Зарплата,1 600,UAH,1 600,UAH,
31/08/2015,Гривна,To 'Наличные',-300,UAH,-300,UAH,
31/08/2015,Наличные,From 'Гривна',300,UAH,300,UAH,
31/08/2015,Наличные,Бонус,10,UAH,10,UAH,
31/08/2015,ПриватБанк,Интернет,-130,UAH,-130,UAH,
01/09/2015,Наличные,Gum,-10,UAH,-10,UAH,
01/09/2015,ПриватБанк,Интернет,-100,UAH,-100,UAH,
01/09/2015,Наличные,Транспорт,-200,UAH,-200,UAH,
01/09/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
01/09/2015,Гривна,To 'Наличные',-600,UAH,-600,UAH,
01/09/2015,Наличные,From 'Гривна',600,UAH,600,UAH,
02/09/2015,Наличные,Электроника,-420,UAH,-420,UAH,
02/09/2015,ПриватБанк,e-buy,-330,UAH,-330,UAH,
02/09/2015,Наличные,Электроника,-20,UAH,-20,UAH,
04/09/2015,ПриватБанк,Связь,-201,UAH,-201,UAH,
04/09/2015,Наличные,Gum,-10,UAH,-10,UAH,
06/09/2015,Наличные,Другое,-20,UAH,-20,UAH,
07/09/2015,Наличные,Gum,-11,UAH,-11,UAH,
07/09/2015,Наличные,Еда,-108,UAH,-108,UAH,
09/09/2015,Гривна,Образование,-900,UAH,-900,UAH,
09/09/2015,Гривна,To 'Наличные',-100,UAH,-100,UAH,
09/09/2015,Наличные,From 'Гривна',100,UAH,100,UAH,
12/09/2015,Гривна,To 'Наличные',-1 000,UAH,-1 000,UAH,
12/09/2015,Наличные,From 'Гривна',1 000,UAH,1 000,UAH,
12/09/2015,Наличные,Электроника,-200,UAH,-200,UAH,Коаксиал
12/09/2015,Наличные,Электроника,-98,UAH,-98,UAH,
13/09/2015,Наличные,Одежда,-660,UAH,-660,UAH,
13/09/2015,ПриватБанк,Еда,-150,UAH,-150,UAH,
13/09/2015,Гривна,To 'Наличные',-500,UAH,-500,UAH,
13/09/2015,Наличные,From 'Гривна',500,UAH,500,UAH,
13/09/2015,Наличные,Кафе,-278,UAH,-278,UAH,Пицца
14/09/2015,ПриватБанк,Транспорт,-163,UAH,-163,UAH,
14/09/2015,ПриватБанк,e-buy,-128,UAH,-128,UAH,
14/09/2015,ПриватБанк,e-buy,-65,UAH,-65,UAH,
14/09/2015,Наличные,Машина,-120,UAH,-120,UAH,
16/09/2015,Наличные,Транспорт,-4,UAH,-4,UAH,
16/09/2015,Наличные,Бонус,200,UAH,200,UAH,
16/09/2015,Наличные,Другое,-2,UAH,-2,UAH,
