date,account,category,amount,currency,converted amount,currency,description
23/10/2014,Наличные,Еда,-235,UAH,-235,UAH,
23/10/2014,ПриватБанк,Интернет,-45,UAH,-45,UAH,
24/10/2014,Наличные,Бонус,77,UAH,77,UAH,
25/10/2014,Наличные,Бонус,10,UAH,10,UAH,
25/10/2014,Наличные,Кафе,-74,UAH,-74,UAH,
25/10/2014,Наличные,Кафе,-74,UAH,-74,UAH,
25/10/2014,Наличные,"Кино, театр, музей",-140,UAH,-140,UAH,
26/10/2014,Гривна,To 'Наличные',-400,UAH,-400,UAH,
26/10/2014,Наличные,From 'Гривна',400,UAH,400,UAH,
26/10/2014,Гривна,Другое,-100,UAH,-100,UAH,
27/10/2014,Наличные,Еда,-4,UAH,-4,UAH,
27/10/2014,Наличные,Бонус,13,UAH,13,UAH,
27/10/2014,Наличные,Еда,-13,UAH,-13,UAH,Сок
29/10/2014,Наличные,Бонус,225,UAH,225,UAH,Аренда проектора 
29/10/2014,Наличные,Еда,-4,UAH,-4,UAH,Орбит
29/10/2014,Наличные,Еда,-3,UAH,-3,UAH,Хлеб
29/10/2014,Наличные,Другое,-50,UAH,-50,UAH,Др
29/10/2014,Наличные,Кафе,-30,UAH,-30,UAH,Бутерброд
30/10/2014,ПриватБанк,Связь,-30,UAH,-30,UAH,
31/10/2014,Наличные,Подарки,-150,UAH,-150,UAH,
31/10/2014,Наличные,Зарплата,693,UAH,693,UAH,
31/10/2014,Наличные,Кафе,-12,UAH,-12,UAH,Мак
31/10/2014,Наличные,Развлечения,-160,UAH,-160,UAH,
31/10/2014,Наличные,Кафе,-210,UAH,-210,UAH,
31/10/2014,Наличные,Транспорт,-4,UAH,-4,UAH,
31/10/2014,Наличные,To 'Гривна',-600,UAH,-600,UAH,
31/10/2014,Гривна,From 'Наличные',600,UAH,600,UAH,
02/11/2014,Наличные,Еда,-82,UAH,-82,UAH,
02/11/2014,Наличные,Транспорт,-1,UAH,-1,UAH,
02/11/2014,Наличные,Подарки,-60,UAH,-60,UAH,
02/11/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
02/11/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
03/11/2014,Наличные,Кафе,-9,UAH,-9,UAH,
04/11/2014,Наличные,Кафе,-5,UAH,-5,UAH,Орбит
04/11/2014,Наличные,Еда,-157,UAH,-157,UAH,
05/11/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
05/11/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
06/11/2014,Наличные,Еда,-27,UAH,-27,UAH,
07/11/2014,Гривна,To 'Наличные',-200,UAH,-200,UAH,
07/11/2014,Наличные,From 'Гривна',200,UAH,200,UAH,
07/11/2014,Наличные,Подарки,-50,UAH,-50,UAH,
07/11/2014,Наличные,Еда,-5,UAH,-5,UAH,Орбит
08/11/2014,Наличные,Еда,-8,UAH,-8,UAH,Вода
08/11/2014,Наличные,Еда,-10,UAH,-10,UAH,
09/11/2014,Наличные,Еда,-16,UAH,-16,UAH,
10/11/2014,Наличные,Кафе,-60,UAH,-60,UAH,Обед
10/11/2014,Наличные,Кафе,-30,UAH,-30,UAH,Бутерброд
10/11/2014,Наличные,Кафе,-4,UAH,-4,UAH,Орбит
13/11/2014,Отдых,Бонус,500,UAH,500,UAH,
13/11/2014,Отдых,Другое,-500,UAH,-500,UAH,Катя
13/11/2014,Отдых,To 'Наличные',-500,UAH,-500,UAH,
13/11/2014,Наличные,From 'Отдых',500,UAH,500,UAH,
13/11/2014,Наличные,Химия,-144,UAH,-144,UAH,
13/11/2014,Наличные,Транспорт,-20,UAH,-20,UAH,
13/11/2014,Наличные,Другое,-6,UAH,-6,UAH,
